,date,am,pm,target,predict
0,2020-04-17,21.0,2.0,working_day,weekend
23,2020-04-18,1.0,68.0,weekend,working_day
92,2020-04-19,18.0,15.0,weekend,working_day
125,2020-04-20,2.0,23.0,working_day,working_day
150,2020-04-21,0.0,25.0,working_day,working_day
175,2020-04-22,0.0,28.0,working_day,working_day
203,2020-04-23,10.0,33.0,working_day,working_day
246,2020-04-24,2.0,14.0,working_day,working_day
262,2020-04-25,30.0,74.0,weekend,working_day
366,2020-04-26,28.0,233.0,weekend,working_day
627,2020-04-27,4.0,2.0,working_day,working_day
633,2020-04-28,4.0,1.0,working_day,working_day
638,2020-04-29,0.0,17.0,working_day,working_day
655,2020-04-30,13.0,40.0,working_day,working_day
708,2020-05-01,8.0,52.0,working_day,working_day
768,2020-05-02,91.0,151.0,weekend,working_day
1010,2020-05-03,47.0,133.0,weekend,working_day
1190,2020-05-04,11.0,26.0,working_day,working_day
1227,2020-05-05,81.0,58.0,working_day,working_day
1366,2020-05-06,2.0,0.0,working_day,weekend
1368,2020-05-07,14.0,38.0,working_day,working_day
1420,2020-05-08,3.0,84.0,working_day,working_day
1507,2020-05-09,0.0,86.0,weekend,working_day
1593,2020-05-10,10.0,133.0,weekend,working_day
1736,2020-05-11,3.0,183.0,working_day,working_day
1922,2020-05-12,56.0,267.0,working_day,working_day
2245,2020-05-13,6.0,205.0,working_day,working_day
2456,2020-05-14,66.0,509.0,working_day,working_day
3031,2020-05-15,10.0,0.0,working_day,weekend
3041,2020-05-16,0.0,4.0,weekend,working_day
3045,2020-05-17,2.0,46.0,weekend,working_day
3093,2020-05-18,0.0,3.0,working_day,working_day
3096,2020-05-19,20.0,14.0,working_day,working_day
3130,2020-05-20,7.0,21.0,working_day,working_day
3158,2020-05-21,1.0,48.0,working_day,working_day
